time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1686353875869716200,13.06071630859375,5,0.15000000596046448,9.787646293640137,11.430999755859375,140.2644805908203,108.25664520263672,1607.0475660385564,30.5173605,59.754833
1686353876870476500,14.0614765625,5,0.15000000596046448,8.648324012756348,10.218000411987305,140.98245239257812,108.27796936035156,1612.9708898160607,30.5197955,59.7544262
1686353877864607700,15.055607666015625,5,0.15000000596046448,7.549741744995117,9.439000129699707,141.95330810546875,108.26066589355469,1620.1136814597994,30.5222465,59.7540202
1686353878879500000,16.0705,5,0.15000000596046448,6.72501277923584,8.61299991607666,142.65966796875,108.17799377441406,1630.2631403282285,30.5247462,59.753613
1686353879867398400,17.0583984375,5,0.15000000596046448,5.86656379699707,7.715000152587891,143.81016540527344,108.00145721435547,1641.0848883474246,30.5272273,59.7532196
1686353880869005800,18.060005859375,5,0.15000000596046448,5.20759391784668,7.296999931335449,144.66900634765625,107.6474838256836,1652.3926424523816,30.5297499,59.7528393
1686353881869540600,19.06054052734375,5,0.15000000596046448,4.699999809265137,6.448999881744385,145.32469177246094,107.1642074584961,1664.7766201095656,30.5322797,59.7524768
1686353882872619800,20.063619873046875,5,0.15000000596046448,4.699999809265137,5.440000057220459,145.73776245117188,106.53150939941406,1676.4636367643252,30.5348238,59.7521361
1686353883867868200,21.0588681640625,5,0.15000000596046448,4.699999809265137,5.315999984741211,146.26101684570312,105.7794189453125,1687.9237443134189,30.5373747,59.7518199
1686353884865446400,22.0564462890625,5,0.15000000596046448,5.527560234069824,5.117000102996826,146.63150024414062,105.08013153076172,1700.3395276246592,30.539937,59.7515158
1686353885864691700,23.055691650390624,5,0.15000000596046448,6.35550594329834,5.197999954223633,146.86631774902344,104.39584350585938,1712.6149752745405,30.5425088,59.7512272
1686353886862034000,24.053033935546875,5,0.15000000596046448,6.99562931060791,5.495999813079834,147.0912322998047,103.68559265136719,1724.4499249411747,30.5450883,59.7509582
1686353887865850600,25.0568505859375,5,0.15000000596046448,7.249869346618652,5.921000003814697,147.16357421875,102.94273376464844,1737.3832510821521,30.547687,59.7507091
1686353888864193800,26.05519384765625,5,0.15000000596046448,7.567625045776367,6.39900016784668,147.32568359375,102.19757843017578,1750.7368573015556,30.5502864,59.7504795
1686353889863085800,27.0540859375,5,0.15000000596046448,7.491308212280273,6.863999843597412,148.82403564453125,101.32414245605469,1765.8319613132626,30.5529225,59.7502668
1686353890867826400,28.058826416015624,5,0.15000000596046448,7.2736101150512695,7.315000057220459,148.59280395507812,100.67108154296875,1780.332845184952,30.5555517,59.7500666
1686353891862790700,29.053790771484376,5,0.15000000596046448,7.333301544189453,7.382999897003174,148.51133728027344,100.03321075439453,1794.9005798390135,30.5581663,59.7498813
1686353892868251600,30.059251708984377,5,0.15000000596046448,7.682458877563477,7.468999862670898,148.35662841796875,99.4025650024414,1809.3228605967015,30.5608028,59.7497078
1686353893868849000,31.059848876953126,5,0.15000000596046448,8.224483489990234,7.599999904632568,148.19708251953125,98.78231811523438,1822.8339457279071,30.5634262,59.7495494
1686353894865528600,32.056528564453124,5,0.15000000596046448,8.715872764587402,7.84499979019165,149.20089721679688,98.04010772705078,1839.1799213215709,30.5660651,59.7494082
1686353895876404200,33.067404296875,5,0.15000000596046448,9.02422046661377,8.194999694824219,148.92840576171875,97.38117980957031,1856.2355660414323,30.5687256,59.7492855
1686353896869062400,34.0600625,5,0.15000000596046448,9.398877143859863,8.609000205993652,148.6981201171875,96.74760437011719,1875.1877233916894,30.5713412,59.7491797
1686353897870026500,35.061026611328124,5,0.15000000596046448,9.391935348510742,8.951000213623047,148.47488403320312,96.09443664550781,1891.4860177766532,30.5739783,59.74909
1686353898866503700,36.057503662109376,5,0.15000000596046448,9.354838371276855,9.017999649047852,148.3822479248047,95.43743896484375,1906.4142661476508,30.5766131,59.7490166
1686353899881057300,37.072057373046874,5,0.15000000596046448,9.146738052368164,9.262999534606934,148.10841369628906,94.78144836425781,1923.409421720542,30.5792801,59.7489569
1686353900876682200,38.06768212890625,5,0.15000000596046448,9.144057273864746,9.286999702453613,148.0245361328125,94.15496826171875,1940.1898946305737,30.5819084,59.748911
